year,week,team,opponent,home,sack,int,safeties,fum_rec,block,tds,points_allowed,yards_allowed,fantasy points
2010,1,Seattle Seahawks,SF,1,2.0,2,0,0,0,1,6,263,19.0
2010,1,Arizona Cardinals,STL,0,2.0,3,0,1,1,0,13,325,16.0
2010,1,New England Patriots,CIN,1,1.0,1,0,1,0,2,24,428,17.0
2010,1,New York Giants,CAR,1,4.0,3,0,2,0,0,18,237,15.0
2010,1,Detroit Lions,CHI,0,4.0,1,0,3,0,0,19,463,13.0
2010,1,Washington Redskins,DAL,1,1.0,0,0,1,0,1,7,380,13.0
2010,1,New York Jets,BAL,1,2.0,1,0,2,0,0,10,282,12.0
2010,1,Tennessee Titans,OAK,1,4.0,1,0,1,0,0,13,286,12.0
2010,1,Kansas City Chiefs,SD,1,2.0,0,0,1,0,1,14,389,11.0
2010,1,St. Louis Rams,ARI,1,2.0,0,0,4,0,0,17,378,11.0
2010,1,Carolina Panthers,NYG,0,1.0,3,1,1,1,0,31,376,12.0
2010,1,Chicago Bears,DET,1,2.0,1,0,2,0,0,14,168,9.0
2010,1,Green Bay Packers,PHI,0,6.0,0,0,1,0,0,20,320,9.0
2010,1,Miami Dolphins,BUF,0,3.0,0,1,0,0,0,10,166,9.0
2010,1,New Orleans Saints,MIN,1,1.0,1,0,0,1,0,9,253,9.0
2010,1,Baltimore Ravens,NYJ,0,2.0,0,0,1,0,0,9,176,8.0
2010,1,Cleveland Browns,TB,0,3.0,1,0,1,0,0,17,288,8.0
2010,1,Jacksonville Jaguars,DEN,1,3.0,1,0,1,0,0,17,363,8.0
2010,1,Pittsburgh Steelers,ATL,1,2.0,1,0,0,0,0,9,295,8.0
2010,1,Tampa Bay Buccaneers,CLE,1,0.0,2,0,1,0,0,14,340,7.0
2010,1,Atlanta Falcons,PIT,0,3.0,1,0,0,0,0,15,354,6.0
2010,1,Dallas Cowboys,WAS,0,1.0,0,0,0,0,0,13,250,5.0
2010,1,Philadelphia Eagles,GB,1,3.0,2,0,0,0,0,27,299,7.0
2010,1,Buffalo Bills,MIA,1,3.0,0,0,0,0,0,15,296,4.0
2010,1,Houston Texans,IND,1,2.0,0,0,1,0,0,24,463,4.0
2010,1,Minnesota Vikings,NO,0,1.0,0,0,0,0,0,14,308,2.0
2010,1,Indianapolis Colts,HOU,0,2.0,1,0,0,0,0,34,355,3.0
2010,1,Oakland Raiders,TEN,0,2.0,0,0,1,0,0,38,345,0.0
2010,1,San Francisco 49ers,SEA,0,1.0,1,0,0,0,0,31,242,2.0
2010,1,Denver Broncos,JAX,0,1.0,0,0,0,0,0,24,299,1.0
2010,1,San Diego Chargers,KC,0,1.0,0,0,0,0,0,21,197,1.0
2010,1,Cincinnati Bengals,NE,0,0.0,0,0,0,0,0,38,376,-4.0
