year,week,name,team,opponent,home,xps,fgs,fantasy points
2010,1,John Kasay,CAR,NYG,0,1,3,10
2010,1,Jeff Reed,PIT,ATL,1,0,3,9
2010,1,Mason Crosby,GB,PHI,0,3,2,9
2010,1,Neil Rackers,HOU,IND,1,4,2,10
2010,1,Nick Folk,NYJ,BAL,1,0,3,9
2010,1,Matt Bryant,ATL,PIT,0,0,3,9
2010,1,Mike Nugent,CIN,NE,0,3,1,6
2010,1,Stephen Gostkowski,NE,CIN,1,5,1,8
2010,1,Rob Bironas,TEN,OAK,1,5,1,8
2010,1,David Akers,PHI,GB,1,2,2,8
2010,1,Lawrence Tynes,NYG,CAR,1,4,1,7
2010,1,Matt Prater,DEN,JAX,0,2,1,5
2010,1,Olindo Mare,SEA,SF,1,4,1,7
2010,1,Sebastian Janikowski,OAK,TEN,0,1,2,7
2010,1,Robbie Gould,CHI,DET,1,1,2,7
2010,1,Graham Gano,WAS,DAL,1,1,2,7
2010,1,Dan Carpenter,MIA,BUF,0,1,2,7
2010,1,Josh Brown,STL,ARI,1,1,2,7
2010,1,Adam Vinatieri,IND,HOU,0,3,1,6
2010,1,Josh Scobee,JAX,DEN,1,3,1,6
2010,1,Joe Nedney,SF,SEA,0,0,2,6
2010,1,Rian Lindell,BUF,MIA,1,1,1,4
2010,1,Jay Feely,ARI,STL,0,2,1,5
2010,1,Connor Barth,TB,CLE,1,2,1,5
2010,1,Billy Cundiff,BAL,NYJ,0,1,1,4
2010,1,Ryan Succop,KC,SD,1,3,0,3
2010,1,Ryan Longwell,MIN,NO,0,0,1,3
2010,1,Nate Kaeding,SD,KC,0,2,0,2
2010,1,Garrett Hartley,NO,MIN,1,2,0,2
2010,1,Jason Hanson,DET,CHI,0,2,0,2
2010,1,Phil Dawson,CLE,TB,0,2,0,2
2010,1,David Buehler,DAL,WAS,0,1,0,1
2010,1,Brian Moorman,BUF,MIA,1,0,0,0
2010,1,Josh Bidwell,WAS,DAL,1,0,0,0
2010,1,Jason Baker,CAR,NYG,0,0,0,0
2010,2,Mike Nugent,CIN,BAL,1,0,5,15
2010,2,Jeff Reed,PIT,TEN,0,1,4,13
2010,2,Neil Rackers,HOU,WAS,0,3,3,12
2010,2,Garrett Hartley,NO,SF,0,2,3,11
2010,2,Matt Bryant,ATL,ARI,1,5,2,11
2010,2,Ryan Succop,KC,CLE,0,1,3,10
2010,2,Sebastian Janikowski,OAK,STL,1,1,3,10
2010,2,Mason Crosby,GB,BUF,1,4,2,10
2010,2,Robbie Gould,CHI,DAL,0,3,2,9
2010,2,Graham Gano,WAS,HOU,1,3,2,9
2010,2,Adam Vinatieri,IND,NYG,1,5,1,8
2010,2,Nate Kaeding,SD,JAX,1,5,1,8
2010,2,Nick Folk,NYJ,NE,1,2,2,8
2010,2,David Buehler,DAL,CHI,1,2,2,8
2010,2,Connor Barth,TB,CAR,0,2,2,8
2010,2,Josh Scobee,JAX,SD,0,1,2,7
2010,2,Matt Prater,DEN,SEA,1,4,1,7
2010,2,Jason Hanson,DET,PHI,1,3,1,6
2010,2,David Akers,PHI,DET,0,5,0,5
2010,2,Ryan Longwell,MIN,MIA,1,1,1,4
2010,2,Billy Cundiff,BAL,CIN,0,1,1,4
2010,2,Rob Bironas,TEN,PIT,1,0,1,3
2010,2,Lawrence Tynes,NYG,IND,0,2,0,2
2010,2,Joe Nedney,SF,NO,1,2,0,2
2010,2,Olindo Mare,SEA,DEN,0,2,0,2
2010,2,Stephen Gostkowski,NE,NYJ,0,2,0,2
2010,2,Phil Dawson,CLE,KC,1,2,0,2
2010,2,Dan Carpenter,MIA,MIN,0,2,0,2
2010,2,Josh Brown,STL,OAK,0,2,0,2
2010,2,Rian Lindell,BUF,GB,0,1,0,1
2010,2,John Kasay,CAR,TB,1,1,0,1
2010,2,Jay Feely,ARI,ATL,0,1,0,1
2010,2,Matt Turk,HOU,WAS,0,0,0,0
2010,3,Sebastian Janikowski,OAK,ARI,0,2,3,11
2010,3,Dan Carpenter,MIA,NYJ,1,2,3,11
2010,3,Rian Lindell,BUF,NE,0,3,3,12
2010,3,Josh Brown,STL,WAS,1,3,3,12
2010,3,Mike Nugent,CIN,CAR,0,2,2,8
2010,3,Graham Gano,WAS,STL,0,1,3,10
2010,3,Adam Vinatieri,IND,DEN,0,3,2,9
2010,3,Olindo Mare,SEA,SD,1,3,2,9
2010,3,David Buehler,DAL,HOU,0,3,2,9
2010,3,Matt Bryant,ATL,NO,0,3,2,9
