year,week,name,team,opponent,home,pa_att,pa_cmp,pa_yds,pa_tds,pa_int,pa_2pts,ru_att,ru_yds,ru_tds,ru_2pts,rec_receptions,rec_yds,rec_tds,rec_2pts,fumb,fantasy points
2010,1,Dallas Clark,IND,HOU,0,0,0,0,0,0,0,0,0,0,0,11,80,1,0,0,19.5
2010,1,Antonio Gates,SD,KC,0,0,0,0,0,0,0,0,0,0,0,5,76,1,0,0,16.1
2010,1,Visanthe Shiancoe,MIN,NO,0,0,0,0,0,0,0,0,0,0,0,4,76,1,0,0,15.6
2010,1,Marcedes Lewis,JAX,DEN,1,0,0,0,0,0,0,0,0,0,0,2,31,2,0,0,16.1
2010,1,Vernon Davis,SF,SEA,0,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,11.3
2010,1,Jermaine Gresham,CIN,NE,0,0,0,0,0,0,0,0,0,0,0,6,25,1,0,0,11.5
2010,1,Chris Cooley,WAS,DAL,1,0,0,0,0,0,0,0,0,0,0,6,80,0,0,0,11.0
2010,1,Todd Heap,BAL,NYJ,0,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,10.2
2010,1,Bo Scaife,TEN,OAK,1,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,11.2
2010,1,Evan Moore,CLE,TB,0,0,0,0,0,0,0,0,0,0,0,3,87,0,0,0,10.2
2010,1,Tony Moeaki,KC,SD,1,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,9.6
2010,1,Tony Scheffler,DET,CHI,0,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,7.3
2010,1,Zach Miller,OAK,TEN,0,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,6.3
2010,1,Heath Miller,PIT,ATL,1,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,6.0
2010,1,Jermichael Finley,GB,PHI,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,6.7
