year,week,name,team,opponent,home,pa_att,pa_cmp,pa_yds,pa_tds,pa_int,pa_2pts,ru_att,ru_yds,ru_tds,ru_2pts,rec_receptions,rec_yds,rec_tds,rec_2pts,fumb,fantasy points
2010,1,Chad Johnson,CIN,NE,0,0,0,0,0,0,0,0,0,0,0,12,159,1,0,0,27.9
2010,1,Austin Collie,IND,HOU,0,0,0,0,0,0,0,0,0,0,0,11,163,1,0,1,25.8
2010,1,Miles Austin,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,10,146,1,0,0,25.6
2010,1,Hakeem Nicks,NYG,CAR,1,0,0,0,0,0,0,0,0,0,0,4,75,3,0,0,27.5
2010,1,Wes Welker,NE,CIN,1,0,0,0,0,0,0,0,0,0,0,8,64,2,0,0,22.4
2010,1,Roddy White,ATL,PIT,0,0,0,0,0,0,0,0,0,0,0,13,111,0,0,0,17.6
2010,1,Reggie Wayne,IND,HOU,0,0,0,0,0,0,0,0,0,0,0,7,99,1,0,0,19.4
2010,1,Legedu Naanee,SD,KC,0,0,0,0,0,0,0,0,0,0,0,5,110,1,0,0,19.5
2010,1,Mark Clayton,STL,ARI,1,0,0,0,0,0,0,0,0,0,0,10,119,0,0,0,16.9
2010,1,Steve Breaston,ARI,STL,0,0,0,0,0,0,0,0,0,0,0,7,132,0,0,0,16.7
2010,1,Greg Jennings,GB,PHI,0,0,0,0,0,0,0,0,0,0,0,5,82,1,0,0,16.7
2010,1,Steve Smith,CAR,NYG,0,0,0,0,0,0,0,0,0,0,0,5,75,1,0,0,16.0
2010,1,Anquan Boldin,BAL,NYJ,0,0,0,0,0,0,0,0,0,0,0,7,110,0,0,0,14.5
2010,1,Nate Washington,TEN,OAK,1,0,0,0,0,0,0,0,0,0,0,3,88,1,0,0,16.3
2010,1,Eddie Royal,DEN,JAX,0,0,0,0,0,0,0,0,0,0,0,8,98,0,0,0,13.8
2010,1,Hines Ward,PIT,ATL,1,0,0,0,0,0,0,0,0,0,0,6,108,0,0,0,13.8
2010,1,Brandon Lloyd,DEN,JAX,0,0,0,0,0,0,0,0,0,0,0,5,117,0,0,0,14.2
2010,1,Mike Williams,TB,CLE,1,0,0,0,0,0,0,0,0,0,0,5,30,1,0,0,11.5
2010,1,Mike Thomas,JAX,DEN,1,0,0,0,0,0,0,0,0,0,0,6,89,0,0,0,11.9
2010,1,Jeremy Maclin,PHI,GB,1,0,0,0,0,0,0,1,11,0,0,4,38,1,0,0,12.9
